id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,14,12,0,470,0
2,Dibër,8,7,41.59991200,20.26165100,1,9,1,0,55,0
3,Durrës,55,49,41.33054100,19.46326500,4,245,184,2,2074,6
4,Elbasan,1,0,41.11456500,20.08415200,1,21,20,0,550,0
5,Fier,8,8,40.72902000,19.56091000,0,58,47,0,1196,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,670,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,291,0
8,Kukës,0,0,42.07545200,20.42317600,0,37,36,0,415,1
9,Lezhë,0,0,41.78537300,19.64099400,0,52,52,0,831,0
10,Shkodër,11,8,42.06776800,19.51425000,2,125,112,1,1354,2
11,Tiranë,146,132,41.33278100,19.81696400,13,537,371,1,5939,20
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,653,1
