id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,6,6,40.71000700,19.94577900,0,14,8,0,455,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,40,0
3,Durrës,68,62,41.33054100,19.46326500,5,242,168,1,2026,6
4,Elbasan,0,0,41.11456500,20.08415200,0,20,20,0,541,0
5,Fier,2,2,40.72902000,19.56091000,0,52,47,0,1147,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,641,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,270,0
8,Kukës,0,0,42.07545200,20.42317600,0,37,36,0,415,1
9,Lezhë,0,0,41.78537300,19.64099400,0,52,52,0,801,0
10,Shkodër,12,10,42.06776800,19.51425000,1,125,111,1,1328,2
11,Tiranë,131,116,41.33278100,19.81696400,14,509,358,1,5699,20
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,630,1
